run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
3,DistilBert,64,186,121.693922851,0.00333310104906559,654885148,233690949,409160727,11751776
3,DistilBert,64,187,122.352810989,0.0033030330669134855,658442240,233296622,413187079,11678715
3,DistilBert,64,188,123.00842953,0.003314150031656027,655206874,230234029,412892493,11806717
3,DistilBert,64,189,123.666247509,0.003300365759059787,657392412,232238614,413072286,11796957
3,DistilBert,64,190,124.316816851,0.003265486564487219,650141564,232770683,405369561,11716565
3,DistilBert,64,191,124.975086579,0.003268348053097725,657797939,230805229,415008920,11694715
3,DistilBert,64,192,125.635813219,0.003237091703340411,660284963,232800614,415502199,11707786
3,DistilBert,64,193,126.292954406,0.003224947489798069,656717820,233150690,411501399,11776386
3,DistilBert,64,194,126.942332828,0.0031982657965272665,648931774,230019475,406892628,11727146
3,DistilBert,64,195,127.606783313,0.003165232017636299,664033108,232133652,419884105,11743096
3,DistilBert,64,196,128.262240581,0.0031617607455700636,655025170,231674574,411192983,11819827
3,DistilBert,64,197,128.918152357,0.00316790072247386,655190583,232191003,410878767,11807467
3,DistilBert,64,198,129.574726855,0.003140099113807082,656141750,232626851,411459787,11769306
3,DistilBert,64,199,130.229810666,0.003110303543508053,654638914,233296573,409334400,11732996
3,DistilBert,64,200,130.889985067,0.0030887757893651724,659765094,232662461,415008310,11804016
3,DistilBert,64,201,131.550914621,0.003101492766290903,660473626,232817284,415585491,11715275
3,DistilBert,64,202,132.210345868,0.0030745863914489746,659024920,233308083,413688187,11746336
3,DistilBert,64,203,132.869037053,0.0030563429463654757,658250497,233309112,412904653,11756166
3,DistilBert,64,204,133.520415829,0.0030241829808801413,650974319,232506468,406380599,11801387
3,DistilBert,64,205,134.186144497,0.003013619687408209,665289420,232415987,420821252,11766587
3,DistilBert,64,206,134.843417087,0.003005861770361662,656843812,231760286,413064005,11745106
3,DistilBert,64,207,135.501082783,0.0029867130797356367,657229068,232687992,412416665,11829527
3,DistilBert,64,208,136.156877167,0.0029742822516709566,655339076,232078061,411220414,11757696
3,DistilBert,64,209,136.81143811,0.002946677152067423,654109445,232607130,409457193,11764727
3,DistilBert,64,210,137.464128799,0.0029535284265875816,652242401,232977757,407272704,11701795
3,DistilBert,64,211,138.118368786,0.0029163325671106577,653837400,229874503,411930865,11759526
3,DistilBert,64,212,138.773145912,0.00292943581007421,654341839,232177153,409805809,11953530
3,DistilBert,64,213,139.425664488,0.0028958902694284916,651832964,233911233,405749327,11856088
3,DistilBert,64,214,140.081488842,0.002883381210267544,655408247,230772428,412620349,11732535
3,DistilBert,64,215,140.737812845,0.002859503496438265,655872865,232396717,411340545,11826178
3,DistilBert,64,216,141.387518892,0.0028431506361812353,649303959,232243534,405132016,11649554
3,DistilBert,64,217,142.044210982,0.0028523332439363003,656264042,231270938,412936814,11768787
3,DistilBert,64,218,142.700203119,0.0028244752902537584,655543829,231853158,411699702,11699475
3,DistilBert,64,219,143.349184754,0.00283167720772326,648567688,232343366,404242721,11704634
3,DistilBert,64,220,144.007182476,0.002793647814542055,657562945,231150535,414380509,11733206
